internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,toilet,heating,parking,station,move_in_date,sink,type,si,sgg,emd,ro,detail,rent,lat,lng,introduce,address
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,마조로15길 24,2,35,37.563771,127.039048,왕십리역 도보5분거리 조용한 원룸입니다.,서울 성동구 마장동 797-7
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OPST,서울,성동구,empty,마장로46길 4,4,60,37.567407,127.045813,대로변 초역세권 복층 오피스텔,서울 성동구 마장동 777-3
1,1,1,1,1,1,1,0,1,0,1,1,1,1,OR,서울,성동구,empty,왕십리로 353,8,66,37.563635,127.030671,5월입주 대로변 엘베O 고층뷰 전입x 레지던스,서울 성동구 하왕십리동 956-2
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,왕십리로30길 13,4,55,37.565557,127.030744,상왕십리역 인근 풀옵션 원룸,서울 성동구 홍익동 398-6
1,1,1,1,1,1,1,0,1,0,1,0,1,1,DDDGG,서울,성동구,empty,청계천로12나길 4,6,50,37.567735,127.035215,거실도있는 분리형원룸 풀옵션 저렴한월세,서울 성동구 마장동 559-6
1,1,1,1,1,1,1,1,1,0,1,1,1,1,DDDGG,서울,성동구,empty,왕십리로30길 13,3,70,37.565557,127.030744,즉시입주 가능한 전용넓은 원룸입니다,서울 성동구 홍익동 398-6
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,empty,마조로15나길 5,2,50,37.563896,127.039992,"왕십리역세권, 조용한 주택가, 깨끗한 풀옵션 원룸 ",서울 성동구 마장동 797-74
0,1,0,0,1,1,1,0,1,0,0,1,0,0,OR,서울,성동구,empty,마조로15나길 5,2,50,37.563896,127.039992,empty,서울 성동구 마장동 797-74
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,마조로15나길 9,B1,35,37.564283,127.040484,사이즈 정말좋은 깨끗한 풀옵션,서울 성동구 마장동 797-6
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,마조로19길 21,1,50,37.564646,127.038897,즉시입주가능한 풀옵션,서울 성동구 마장동 797-29
1,1,1,1,1,1,1,1,1,0,0,0,1,1,OR,서울,성동구,empty,마장로27길 2,2,60,37.566629,127.034902,도선사거리 인접 컨디션좋은 풀옵션원룸 즉시입주,서울 성동구 마장동 566-34
1,1,1,1,1,1,1,1,1,0,1,0,1,1,APT,서울,성동구,empty,무학로 50,2,45,37.568214,127.031981,방2개 월세  화장실단독사용 여성분만가능 주차가능,서울 성동구 하왕십리동 258
1,1,1,1,1,1,1,1,1,0,1,1,1,1,OR,서울,성동구,empty,왕십리로30길 13,4,55,37.565557,127.030744,즉시입주가능 저렴한 오픈형 풀옵션,서울 성동구 홍익동 398-6
1,1,1,1,1,1,1,0,1,0,1,0,1,1,OR,서울,성동구,empty,살곶이2가길 76,1,25,37.563012,127.044494,통풍 잘 되고 햇빛이 잘 들어 쾌적한 2층 원룸,서울 성동구 마장동 382-30
1,1,1,1,1,1,1,0,1,0,0,0,1,1,DDDGG,서울,성동구,empty,마장로29길 29,1,40,37.567885,127.035843,2층 방1칸 분리형 원룸 옵션x,서울 성동구 마장동 556
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,성동구,empty,무학봉15길 26,2,30,37.563538,127.030482,풀옵션 원룸,서울 성동구 하왕십리동 955-1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,OPST,서울,성동구,empty,고산자로 284,6,70,37.565189,127.03674,왕십리초역세권 도보3분 성동구청 바로옆 빠른 입주협의,서울 성동구 행당동 192-29
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,마조로15길 13,3,65,37.563626,127.040083,왕십리역 역세권 넓고 채광좋은 풀옵션원룸,서울 성동구 마장동 800-1
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,왕십리로30길 13,3,70,37.565557,127.030744,즉시입주 8P넓은 원룸 풀옵션 남향세대 공동보안,서울 성동구 홍익동 398-6
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,empty,마장로 328,4,60,37.567531,127.0456,"마장역,답십리역5호선 신답역2호석 더블 역세권 원룸 즉시입주",서울 성동구 마장동 777-6
1,1,1,1,1,1,1,0,1,0,1,0,1,1,DDDGG,서울,성동구,empty,청계천로10나길 12,1,50,37.569326,127.033743,도배장판 해드립니다 층간소음없는집,서울 성동구 마장동 444-5
1,1,1,1,1,1,1,0,1,0,1,0,1,1,DDDGG,서울,성동구,empty,무학로10길 24,B1,40,37.565735,127.033513,홍익동 넓은 다가구 1.5룸,서울 성동구 홍익동 268
1,1,1,1,1,1,1,1,1,0,1,1,1,1,OPST,서울,성동구,용답동,empty,14,63,37.559906,127.069378,"중랑천고층뷰,저렴한월세 장한평역서희스타힐스오피스텔",서울 성동구 용답동 238-12
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OPST,서울,성동구,empty,자동차시장1길 73,5,70,37.560731,127.065465,장한평역 초역세권 전입 가능한 풀옵션 신축급 오피스텔 부라다,서울 성동구 용답동 233-8
1,1,1,1,1,1,1,1,1,0,1,0,1,1,OR,서울,성동구,성수동2가,empty,1,30,37.535879,127.059636,"삼정 실5, 깔끔한 1층 원룸",서울 성동구 성수동2가 211-18
1,1,1,1,1,1,1,1,1,0,0,0,1,1,OR,서울,성동구,empty,송정10길 22,B1,38,37.548881,127.067075,"화양사거리 위치, 즉시입주가능, 풀옵션 반지층 분리형 원룸",서울 성동구 송정동 66-127
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,마포구,empty,고산2길 48,B1,50,37.553671,126.9401,"주방분리형원룸, 풀옵션, 신촌역 도보6분, 버스정류장 도보 6분, 이마트",서울 마포구 노고산동 12-154
1,1,1,1,1,1,1,1,1,0,1,0,1,1,OR,서울,마포구,empty,성미산로 165,2,60,37.565038,126.924926,O 신축급 O 연남동 조용한 주택가 O ,서울 마포구 연남동 223-98
1,1,1,1,1,1,1,1,1,0,1,0,1,1,OR,서울,마포구,empty,성미산로 165,2,60,37.565038,126.924926,가성비 좋은 연남동 수리한 원룸 ,서울 마포구 연남동 223-98
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,마포구,empty,성미산로 188,4,46,37.563012,126.926085,O 옥탑 옥상단독사용 O 깔끔한 분리형 O 기본옵션 O,서울 마포구 연남동 228-4
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,광진구,empty,자양로29길 8,2,55,37.544241,127.084427,"풀옵션 원룸, 어린이대공원 인근",서울 광진구 구의동 253-16
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,광진구,empty,자양로19길 68,3,47,37.538407,127.079864,핫한월세  풀옵션   월세에모든공과금포함요금  건대생에인기,서울 광진구 자양동 772-18
1,1,1,1,1,1,1,1,1,0,0,0,1,1,DDDGG,서울,광진구,empty,자양로32길 70,B1,45,37.543875,127.089159,깔끔하고 넓은 풀옵션 통원룸,서울 광진구 구의동 231-53
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,광진구,empty,능동로34길 12,3,45,37.555347,127.079824,"군자역 초역세권 원룸, 옥상이용가능",서울 광진구 능동 224-40
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,광진구,empty,천호대로110길 30,5,50,37.555768,127.079246,"지하철군자역 도보1분 교통편리, 5호선,7호선 출퇴근직장인 적합",서울 광진구 능동 221-18
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,광진구,empty,자양로18길 26,4,60,37.537677,127.085115,"리모델링한 신축급 풀옵션 원룸, 구의역 1분",서울 광진구 구의동 246-8
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,광진구,empty,뚝섬로23길 75,1,55,37.537757,127.067473,올수리2년차 보증금최소월세 대출없음,서울 광진구 자양동 850-5
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,광진구,empty,동일로18나길 6,3,60,37.539191,127.065127,"옥상 단독 사용, 풀옵션 공간 활용 좋은 원룸",서울 광진구 자양동 12-13
1,1,1,1,1,1,1,0,1,0,1,0,1,1,OR,서울,광진구,empty,동일로10다길 8,B1,30,37.537696,127.064466,건대입구역세권 도보8분 깔끔한 풀옵션 원룸,서울 광진구 자양동 40-14
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,광진구,empty,구의강변로 87,2,50,37.538448,127.093432,풀옵션 남향 밝고 깨끗 초역세권 즉시입주가능,서울 광진구 구의동 217-10
1,1,1,1,1,1,1,1,1,0,0,0,1,1,DDDGG,서울,광진구,empty,답십리로74길 11,3,29,37.571071,127.080557,중곡동 깔끔한 풀옵션 원룸,서울 광진구 중곡동 583-5
0,0,0,1,0,0,1,0,1,1,1,0,1,0,OR,서울,광진구,empty,자양번영로4길 59,B1,30,37.531167,127.078616,empty,서울 광진구 자양동 605-27
1,1,1,1,1,1,1,1,1,0,1,1,1,1,OR,서울,양천구,empty,오목로29길 3,B1,35,37.52506,126.853333,신정역2분 풀옵션 빠른입주가능,서울 양천구 신정동 928-26
1,1,1,1,1,1,1,1,1,0,1,1,1,1,DDDGG,서울,양천구,empty,중앙로49길 11,1,40,37.523038,126.850488,"신정네거리역,신정역 풀옵션1.5룸 주차가능 단기임대",서울 양천구 신월동 503-15
1,1,1,1,1,1,1,0,1,0,1,0,1,1,DDDGG,서울,양천구,empty,남부순환로79길 31,3,40,37.518012,126.842758,"상태깨끗,이사협의,생활편리,교통이용편리",서울 양천구 신월동 575-11
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로39길 22,1,35,37.519834,126.849902,방2화1 지하철도보이용 도배.장판.씽크대 수리함. 방넓고 주방공간있어요,서울 양천구 신정동 1210-12
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로39길 22,1,40,37.519834,126.849902,방2화1베1 저렴한지상층 주방공간O 지하철도보이용 연식대비깔끔 언덕위치함,서울 양천구 신정동 1210-12
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로45길 28,B1,30,37.52194,126.849647,신정네거리역세권. 계단없는 지층. 방1.화1. 상태깨끗해요,서울 양천구 신정동 1193-5
1,1,1,1,1,1,1,1,1,0,1,1,1,1,DDDGG,서울,양천구,empty,중앙로45길 28,B1,35,37.52194,126.849647,계단없음 지층임1층같음 방 주방 크고 깨끗함 즉시입주 신정네거리역5분,서울 양천구 신정동 1193-5
1,1,1,1,1,1,1,0,1,0,1,1,1,1,DDDGG,서울,양천구,empty,중앙로36길 8,4,35,37.519244,126.854831,"전철3분,신서학군,즉시입주,공원앞",서울 양천구 신정동 1050-4
1,1,1,1,1,1,1,1,1,0,0,0,1,1,DDDGG,서울,양천구,empty,신월로 300,3,60,37.521049,126.854274,올수리 투룸 옥상마당 사용가능 사무실 공방 등 사용가능,서울 양천구 신정동 1029-7
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로45길 25,1,35,37.520162,126.850106,"깔끔수리 함,즉시입주,전철5분",서울 양천구 신정동 1201-7
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로47길 20,4,25,37.519564,126.850667,"분리형 원룸, 풀옵션, 옥상 마당 사용 가능한 옥탑",서울 양천구 신정동 1206-10
1,1,1,1,1,1,1,1,1,0,1,1,1,1,DDDGG,서울,양천구,empty,오목로 131,5,40,37.524496,126.851967,역세권 I 대로변 1.5룸 월세 I 설명란 확인,서울 양천구 신정동 940-39
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로39길 22,B1,35,37.519834,126.849902,"도배장판,싱크대,변기교체. 지하철역인접. 계단없는바닥1층",서울 양천구 신정동 1210-12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,DDDGG,서울,양천구,empty,중앙로47길 47,B1,25,37.517218,126.849807,즉시입주가 계단없는 지층 에어컨 가스렌지있음 상태 양호,서울 양천구 신정동 1160-6
1,1,1,1,1,1,1,0,1,0,1,0,1,1,VL,서울,양천구,empty,중앙로29길 88,1,40,37.519335,126.848704,보증금 조정가능 진입이 편리하며 거주자 우선주차지역 방 오전만 볼수있음,서울 양천구 신정동 1216-1
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,양천구,empty,중앙로39길 22,1,40,37.519834,126.849902,"싱크대,변기,벽지,바닥교체. 지하철역인접.보일러실 넓어요. 1.5층",서울 양천구 신정동 1210-12
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,양천구,empty,목동중앙북로 102,B1,30,37.545565,126.874293,"염창역도보2분,풀옵션",서울 양천구 목동 526-17
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,양천구,empty,목동중앙서로3길 20,1,30,37.533452,126.865459,목사거리인근 신축급 올수리 여성전용 원룸,서울 양천구 목동 789-37
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,양천구,empty,목동중앙북로 102,B1,30,37.545565,126.874293,염창역 최저가 풀옵션 관리 잘해서 깔끔한 원룸,서울 양천구 목동 526-17
1,1,1,1,1,1,1,1,1,0,0,0,1,1,VL,서울,양천구,empty,목동중앙서로11길 65,3,47,37.534834,126.866647,깔끔하고 실용적인 저렴한 원룸월세,서울 양천구 목동 779-16
1,1,1,1,1,1,1,1,1,0,1,0,1,1,DDDGG,서울,양천구,empty,목동중앙서로7나길 11,5,40,37.533862,126.864318,주차가능.옥탑방전용면적9.넓음.풀옵션.옥상씀.큰도로옆안전,서울 양천구 목동 788-5
1,1,1,1,0,1,1,0,1,1,0,1,0,0,OR,서울,양천구,empty,공항대로 542,5,41,37.550155,126.86598,empty,서울 양천구 목동 604-2
1,1,1,1,1,1,1,1,1,0,1,0,1,1,DDDGG,서울,양천구,empty,목동중앙서로7길 17,B1,40,37.533696,126.865138,조용한 주택가. 바닥층. 도배 등 수리되어깨끗. 대중교통이용편리,서울 양천구 목동 789-30
1,1,1,1,1,1,1,1,1,0,1,0,1,1,DDDGG,서울,양천구,empty,목동중앙서로7길 17,B1,40,37.533696,126.865138,올수리 깨끗한 방2,서울 양천구 목동 789-30
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,양천구,empty,공항대로 542,5,41,37.550155,126.86598,등촌역 초역세권 보증금 저렴한 원룸,서울 양천구 목동 604-2
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,양천구,empty,공항대로 542,5,41,37.550155,126.86598,"안전한 대로변위치,9호선 등촌역 깨끗한 풀옵션",서울 양천구 목동 604-2
1,1,1,1,1,1,1,0,1,0,0,1,1,1,VL,서울,양천구,empty,목동로17길 16,2,57,37.524506,126.862248,풀옵션 깔끔 채광좋은 바닥층 목동역4분 빌라형 다가구,서울 양천구 신정동 999-24
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,양천구,empty,신정중앙로21길 12,2,35,37.527068,126.861904,목동역 단독주택에 있는 옥탑 입니다.,서울 양천구 신정동 888-4
1,1,1,1,1,1,1,1,1,0,1,0,1,1,DDDGG,서울,양천구,empty,가로공원로60길 8,3,25,37.534563,126.824885,신월3동옥탑방,서울 양천구 신월동 153-5
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,양천구,empty,남부순환로 368,5,42,37.534291,126.829007,"JS드림,대로변,복층,저렴한관리비",서울 양천구 신월동 166-10
1,1,1,1,1,1,1,1,1,0,0,0,1,1,OR,서울,양천구,empty,남부순환로 368,6,44,37.534291,126.829007,"JS드림,대로변,복층,저렴한관리비",서울 양천구 신월동 166-10
1,1,1,1,1,1,1,0,1,0,0,0,1,1,DDDGG,서울,양천구,empty,월정로46길 4,B1,40,37.54056,126.832364,신축수준으로 올수리 밝고 습기없는 반지층 방2,서울 양천구 신월동 22-6
1,1,1,1,1,1,1,0,1,0,0,0,1,1,DDDGG,서울,양천구,empty,남부순환로40길 85,1,35,37.532368,126.825228,"신월사거리 8분,다가구 지상1층 방2,벽걸이에어컨 옵션,실면적 약7",서울 양천구 신월동 186-24
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,만양로18길 19,1,37,37.513309,126.945607,권리관계확실한 풀옵션전세원룸,서울 동작구 노량진동 148-62
1,1,1,1,1,1,1,0,1,0,1,0,1,1,OR,서울,동작구,empty,만양로11길 3,3,35,37.508466,126.946443,고시원가격의 가성비좋은 풀옵션원룸,서울 동작구 노량진동 218-100
1,1,1,1,1,1,1,0,1,0,1,0,1,1,OR,서울,동작구,empty,만양로6길 16,1,32,37.508769,126.947283,고시원가격의 풀옵션원룸,서울 동작구 노량진동 215-102
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,동작구,empty,만양로6길 12,B1,28,37.508613,126.947413,권리관계확실한 고시원가격의 풀옵션원룸입니다,서울 동작구 노량진동 215-106
1,1,1,1,1,1,1,1,1,0,1,0,1,1,OR,서울,동작구,empty,만양로12가길 10,2,40,37.511081,126.947823,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸,서울 동작구 노량진동 205-141
0,1,1,1,0,1,1,1,0,1,0,1,1,1,OR,서울,동작구,empty,대방동2길 33,1,28,37.502576,126.927457,empty,서울 동작구 대방동 392-16
1,1,1,1,1,1,1,1,1,0,1,0,1,1,OR,서울,동작구,empty,만양로 53,2,55,37.508682,126.946478,대로변이고 동선이 안전한 창문이2개임,서울 동작구 노량진동 219-33
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,동작구,empty,만양로12가길 10,1,37,37.511081,126.947823,방에 비해 정말 가격저렴하고 채광과 통풍좋은 깨끗한 원룸,서울 동작구 노량진동 205-141
1,1,1,1,1,1,1,1,1,0,0,0,1,1,OR,서울,동작구,empty,만양로11길 3,1,32,37.508376,126.946456,집주인이 관리를잘해주는 권리관계확실한 매물입니다,서울 동작구 노량진동 218-59
1,1,1,1,1,1,1,1,1,0,1,0,1,1,OR,서울,동작구,empty,만양로8길 13,4,47,37.50868,126.947534,2018년신축한 방음이뛰어난풀옵션원룸,서울 동작구 노량진동 214-127
1,1,0,0,0,1,0,0,0,0,0,1,0,1,OR,서울,동작구,empty,대방동길 27,1,38,37.501832,126.92791,empty,서울 동작구 대방동 391-87
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,동작구,empty,상도로15마길 21,2,31,37.503334,126.933507,저렴한 원룸이 있다 깔끔한을 원한다면 한번 봅시다,서울 동작구 상도동 356-86
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,동작구,empty,만양로12길 6,B1,34,37.509568,126.946013,저렴하고 화이트톤의 깨끗한 매물,서울 동작구 노량진동 222-51
1,1,1,1,1,1,1,1,1,0,1,1,1,1,OR,서울,동작구,empty,성대로3길 8,2,50,37.500102,126.933507,신대방삼거리역 1번출구 도보 3분 초역세권 저렴하고 깔끔한 원룸,서울 동작구 상도동 247-6
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,노량진로8가길 19,1,36,37.512204,126.936138,깔끔한 가성비 좋은 원룸풀옵션,서울 동작구 노량진동 277-8
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,동작구,empty,상도로15차길 5,1,35,37.504562,126.935673,장승배기역 4번출구 도보 3분거리 초역세권 도배예정 깔끔한 원룸여기,서울 동작구 상도동 361-69
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,상도로15마길 21,B1,32,37.503334,126.933507,장승배기역 도보 7분 역세권 풀옵션 가성비 좋은 원룸,서울 동작구 상도동 356-86
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,만양로14나길 19,2,37,37.512401,126.946188,가성비최고 크기좋고 깨끗한 풀옵션 원룸,서울 동작구 노량진동 127-3
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,동작구,empty,대방동27길 73,1,40,37.501837,126.924584,보라매역 도보 8분 풀옵션 원룸,서울 동작구 대방동 391-301
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,동작구,empty,장승배기로27길 16,2,40,37.511596,126.938471,노량진 학원가 인접 깔끔한방 ,서울 동작구 노량진동 244-34
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,대방동5길 4,B1,35,37.501324,126.927407,신대방삼거리역 도보 3분 깔끔하고 가성비 좋은 원룸,서울 동작구 대방동 391-540
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,대방동길 21,B1,42,37.501686,126.927859,신대방삼거리역 도보 4분 풀옵션 역세권 원룸,서울 동작구 대방동 391-23
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,동작구,empty,대방동15길 5,1,38,37.502724,126.924984,가성비 끝판왕 풀옵션 원룸,서울 동작구 대방동 391-245
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,대방동3길 29,B1,40,37.501173,126.925904,신대방삼거리역 도보 4분 초역세권 풀옵션 원룸,서울 동작구 대방동 391-152
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,동작구,empty,상도로47길 102,1,60,37.503738,126.951926,중앙대 초역세권 가장 넓은 원룸,서울 동작구 상도1동 483-1
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,등용로14길 66,3,40,37.512297,126.935181,위치놓고깔끔한원룸,서울 동작구 노량진동 270
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,등용로14길 66,3,58,37.512297,126.935181,위치놓고깔끔한원룸,서울 동작구 노량진동 270
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,대방동27길 97,B1,35,37.500816,126.924228,보라매역 도보 5분 초역세권 풀옵션 원룸,서울 동작구 대방동 391-561
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,등용로14길 66,3,40,37.512297,126.935181,위치놓고깔끔한원룸,서울 동작구 노량진동 270
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,대방동1길 30,B1,42,37.50054,126.924358,신대방삼거리역 보라매역 도보 5분거리 역세권 풀옵션 원룸,서울 동작구 대방동 391-559
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,동작구,empty,만양로15길 14,2,40,37.510986,126.943759,컨디션 좋은 가성비 최고매물,서울 동작구 노량진동 120-20
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,동작구,empty,만양로14길 39,3,43,37.512498,126.946252,가성비굿 위치좋고 컨디션 좋은 리모델링 귀한 매물,서울 동작구 노량진동 127-11
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,동작구,empty,만양로 53,1,43,37.508682,126.946478,대로변이고 동선이 안전한 2018년신축된 방음이좋은원룸,서울 동작구 노량진동 219-33
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,동작구,empty,노량진로8가길 19,1,33,37.512204,126.936138,노량진에서 귀한 큰 원룸입니다,서울 동작구 노량진동 277-8
